48,'DIII: Exist diphasic derivation P wave','DIII: Exist diphasic derivation P wave','Of channel DIII: Existence of diphasic derivation of P wave'
49,'DIII: Exist ragged T wave','DIII: Exist ragged T wave','Of channel DIII: Existence of ragged T wave'
50,'DIII: Exist diphasic derivation T wave','DIII: Exist diphasic derivation T wave','Of channel DIII: Existence of diphasic derivation of T wave'
51,'AVR: Q wave (msec)','AVR: Q wave (msec)','Of channel AVR: Average width of Q wave, in msec.'
52,'AVR: R wave (msec)','AVR: R wave (msec)','Of channel AVR: Average width of R wave, in msec.'
53,'AVR: S wave (msec)','AVR: S wave (msec)','Of channel AVR: Average width of S wave, in msec.'
54,'AVR: R'' wave (msec)','AVR: R'' wave (msec)','Of channel AVR: Average width of R'' wave, in msec.'
55,'AVR: S'' wave (msec)','AVR: S'' wave (msec)','Of channel AVR: Average width of S'' wave, in msec.'
56,'AVR: Intrinsic deflections','AVR: Intrinsic deflections','Of channel AVR: Number of intrinsic deflections'
57,'AVR: Exist ragged R wave','AVR: Exist ragged R wave','Of channel AVR: Existence of ragged R wave'
58,'AVR: Exist diphasic derivation R wave','AVR: Exist diphasic derivation R wave','Of channel AVR: Existence of diphasic derivation of R wave'
59,'AVR: Exist ragged P wave','AVR: Exist ragged P wave','Of channel AVR: Existence of ragged P wave'
60,'AVR: Exist diphasic derivation P wave','AVR: Exist diphasic derivation P wave','Of channel AVR: Existence of diphasic derivation of P wave'
61,'AVR: Exist ragged T wave','AVR: Exist ragged T wave','Of channel AVR: Existence of ragged T wave'
62,'AVR: Exist diphasic derivation T wave','AVR: Exist diphasic derivation T wave','Of channel AVR: Existence of diphasic derivation of T wave'
63,'AVL: Q wave (msec)','AVL: Q wave (msec)','Of channel AVL: Average width of Q wave, in msec.'
64,'AVL: R wave (msec)','AVL: R wave (msec)','Of channel AVL: Average width of R wave, in msec.'
65,'AVL: S wave (msec)','AVL: S wave (msec)','Of channel AVL: Average width of S wave, in msec.'
66,'AVL: R'' wave (msec)','AVL: R'' wave (msec)','Of channel AVL: Average width of R'' wave, in msec.'
67,'AVL: S'' wave (msec)','AVL: S'' wave (msec)','Of channel AVL: Average width of S'' wave, in msec.'
68,'AVL: Intrinsic deflections','AVL: Intrinsic deflections','Of channel AVL: Number of intrinsic deflections'
69,'AVL: Exist ragged R wave','AVL: Exist ragged R wave','Of channel AVL: Existence of ragged R wave'
70,'AVL: Exist diphasic derivation R wave','AVL: Exist diphasic derivation R wave','Of channel AVL: Existence of diphasic derivation of R wave'
71,'AVL: Exist ragged P wave','AVL: Exist ragged P wave','Of channel AVL: Existence of ragged P wave'
72,'AVL: Exist diphasic derivation P wave','AVL: Exist diphasic derivation P wave','Of channel AVL: Existence of diphasic derivation of P wave'
73,'AVL: Exist ragged T wave','AVL: Exist ragged T wave','Of channel AVL: Existence of ragged T wave'
74,'AVL: Exist diphasic derivation T wave','AVL: Exist diphasic derivation T wave','Of channel AVL: Existence of diphasic derivation of T wave'
75,'AVF: Q wave (msec)','AVF: Q wave (msec)','Of channel AVF: Average width of Q wave, in msec.'
76,'AVF: R wave (msec)','AVF: R wave (msec)','Of channel AVF: Average width of R wave, in msec.'
77,'AVF: S wave (msec)','AVF: S wave (msec)','Of channel AVF: Average width of S wave, in msec.'
78,'AVF: R'' wave (msec)','AVF: R'' wave (msec)','Of channel AVF: Average width of R'' wave, in msec.'
79,'AVF: S'' wave (msec)','AVF: S'' wave (msec)','Of channel AVF: Average width of S'' wave, in msec.'
80,'AVF: Intrinsic deflections','AVF: Intrinsic deflections','Of channel AVF: Number of intrinsic deflections'
81,'AVF: Exist ragged R wave','AVF: Exist ragged R wave','Of channel AVF: Existence of ragged R wave'
82,'AVF: Exist diphasic derivation R wave','AVF: Exist diphasic derivation R wave','Of channel AVF: Existence of diphasic derivation of R wave'
83,'AVF: Exist ragged P wave','AVF: Exist ragged P wave','Of channel AVF: Existence of ragged P wave'
84,'AVF: Exist diphasic derivation P wave','AVF: Exist diphasic derivation P wave','Of channel AVF: Existence of diphasic derivation of P wave'
85,'AVF: Exist ragged T wave','AVF: Exist ragged T wave','Of channel AVF: Existence of ragged T wave'
86,'AVF: Exist diphasic derivation T wave','AVF: Exist diphasic derivation T wave','Of channel AVF: Existence of diphasic derivation of T wave'
87,'V1: Q wave (msec)','V1: Q wave (msec)','Of channel V1: Average width of Q wave, in msec.'
88,'V1: R wave (msec)','V1: R wave (msec)','Of channel V1: Average width of R wave, in msec.'
89,'V1: S wave (msec)','V1: S wave (msec)','Of channel V1: Average width of S wave, in msec.'
90,'V1: R'' wave (msec)','V1: R'' wave (msec)','Of channel V1: Average width of R'' wave, in msec.'
91,'V1: S'' wave (msec)','V1: S'' wave (msec)','Of channel V1: Average width of S'' wave, in msec.'
92,'V1: Intrinsic deflections','V1: Intrinsic deflections','Of channel V1: Number of intrinsic deflections'
93,'V1: Exist ragged R wave','V1: Exist ragged R wave','Of channel V1: Existence of ragged R wave'
94,'V1: Exist diphasic derivation R wave','V1: Exist diphasic derivation R wave','Of channel V1: Existence of diphasic derivation of R wave'
95,'V1: Exist ragged P wave','V1: Exist ragged P wave','Of channel V1: Existence of ragged P wave'
96,'V1: Exist diphasic derivation P wave','V1: Exist diphasic derivation P wave','Of channel V1: Existence of diphasic derivation of P wave'
97,'V1: Exist ragged T wave','V1: Exist ragged T wave','Of channel V1: Existence of ragged T wave'
98,'V1: Exist diphasic derivation T wave','V1: Exist diphasic derivation T wave','Of channel V1: Existence of diphasic derivation of T wave'
99,'V2: Q wave (msec)','V2: Q wave (msec)','Of channel V2: Average width of Q wave, in msec.'
100,'V2: R wave (msec)','V2: R wave (msec)','Of channel V2: Average width of R wave, in msec.'
101,'V2: S wave (msec)','V2: S wave (msec)','Of channel V2: Average width of S wave, in msec.'
102,'V2: R'' wave (msec)','V2: R'' wave (msec)','Of channel V2: Average width of R'' wave, in msec.'
103,'V2: S'' wave (msec)','V2: S'' wave (msec)','Of channel V2: Average width of S'' wave, in msec.'
104,'V2: Intrinsic deflections','V2: Intrinsic deflections','Of channel V2: Number of intrinsic deflections'
105,'V2: Exist ragged R wave','V2: Exist ragged R wave','Of channel V2: Existence of ragged R wave'
106,'V2: Exist diphasic derivation R wave','V2: Exist diphasic derivation R wave','Of channel V2: Existence of diphasic derivation of R wave'
107,'V2: Exist ragged P wave','V2: Exist ragged P wave','Of channel V2: Existence of ragged P wave'
108,'V2: Exist diphasic derivation P wave','V2: Exist diphasic derivation P wave','Of channel V2: Existence of diphasic derivation of P wave'
109,'V2: Exist ragged T wave','V2: Exist ragged T wave','Of channel V2: Existence of ragged T wave'
110,'V2: Exist diphasic derivation T wave','V2: Exist diphasic derivation T wave','Of channel V2: Existence of diphasic derivation of T wave'
111,'V3: Q wave (msec)','V3: Q wave (msec)','Of channel V3: Average width of Q wave, in msec.'
112,'V3: R wave (msec)','V3: R wave (msec)','Of channel V3: Average width of R wave, in msec.'
113,'V3: S wave (msec)','V3: S wave (msec)','Of channel V3: Average width of S wave, in msec.'
114,'V3: R'' wave (msec)','V3: R'' wave (msec)','Of channel V3: Average width of R'' wave, in msec.'
115,'V3: S'' wave (msec)','V3: S'' wave (msec)','Of channel V3: Average width of S'' wave, in msec.'
116,'V3: Intrinsic deflections','V3: Intrinsic deflections','Of channel V3: Number of intrinsic deflections'
117,'V3: Exist ragged R wave','V3: Exist ragged R wave','Of channel V3: Existence of ragged R wave'
118,'V3: Exist diphasic derivation R wave','V3: Exist diphasic derivation R wave','Of channel V3: Existence of diphasic derivation of R wave'
119,'V3: Exist ragged P wave','V3: Exist ragged P wave','Of channel V3: Existence of ragged P wave'
120,'V3: Exist diphasic derivation P wave','V3: Exist diphasic derivation P wave','Of channel V3: Existence of diphasic derivation of P wave'
121,'V3: Exist ragged T wave','V3: Exist ragged T wave','Of channel V3: Existence of ragged T wave'
122,'V3: Exist diphasic derivation T wave','V3: Exist diphasic derivation T wave','Of channel V3: Existence of diphasic derivation of T wave'
123,'V4: Q wave (msec)','V4: Q wave (msec)','Of channel V4: Average width of Q wave, in msec.'
124,'V4: R wave (msec)','V4: R wave (msec)','Of channel V4: Average width of R wave, in msec.'
125,'V4: S wave (msec)','V4: S wave (msec)','Of channel V4: Average width of S wave, in msec.'
126,'V4: R'' wave (msec)','V4: R'' wave (msec)','Of channel V4: Average width of R'' wave, in msec.'
127,'V4: S'' wave (msec)','V4: S'' wave (msec)','Of channel V4: Average width of S'' wave, in msec.'
128,'V4: Intrinsic deflections','V4: Intrinsic deflections','Of channel V4: Number of intrinsic deflections'
129,'V4: Exist ragged R wave','V4: Exist ragged R wave','Of channel V4: Existence of ragged R wave'
130,'V4: Exist diphasic derivation R wave','V4: Exist diphasic derivation R wave','Of channel V4: Existence of diphasic derivation of R wave'
131,'V4: Exist ragged P wave','V4: Exist ragged P wave','Of channel V4: Existence of ragged P wave'
132,'V4: Exist diphasic derivation P wave','V4: Exist diphasic derivation P wave','Of channel V4: Existence of diphasic derivation of P wave'
133,'V4: Exist ragged T wave','V4: Exist ragged T wave','Of channel V4: Existence of ragged T wave'
134,'V4: Exist diphasic derivation T wave','V4: Exist diphasic derivation T wave','Of channel V4: Existence of diphasic derivation of T wave'
135,'V5: Q wave (msec)','V5: Q wave (msec)','Of channel V5: Average width of Q wave, in msec.'
136,'V5: R wave (msec)','V5: R wave (msec)','Of channel V5: Average width of R wave, in msec.'
137,'V5: S wave (msec)','V5: S wave (msec)','Of channel V5: Average width of S wave, in msec.'
138,'V5: R'' wave (msec)','V5: R'' wave (msec)','Of channel V5: Average width of R'' wave, in msec.'
139,'V5: S'' wave (msec)','V5: S'' wave (msec)','Of channel V5: Average width of S'' wave, in msec.'
140,'V5: Intrinsic deflections','V5: Intrinsic deflections','Of channel V5: Number of intrinsic deflections'
141,'V5: Exist ragged R wave','V5: Exist ragged R wave','Of channel V5: Existence of ragged R wave'
142,'V5: Exist diphasic derivation R wave','V5: Exist diphasic derivation R wave','Of channel V5: Existence of diphasic derivation of R wave'
143,'V5: Exist ragged P wave','V5: Exist ragged P wave','Of channel V5: Existence of ragged P wave'
144,'V5: Exist diphasic derivation P wave','V5: Exist diphasic derivation P wave','Of channel V5: Existence of diphasic derivation of P wave'
145,'V5: Exist ragged T wave','V5: Exist ragged T wave','Of channel V5: Existence of ragged T wave'
146,'V5: Exist diphasic derivation T wave','V5: Exist diphasic derivation T wave','Of channel V5: Existence of diphasic derivation of T wave'
147,'V6: Q wave (msec)','V6: Q wave (msec)','Of channel V6: Average width of Q wave, in msec.'
148,'V6: R wave (msec)','V6: R wave (msec)','Of channel V6: Average width of R wave, in msec.'
149,'V6: S wave (msec)','V6: S wave (msec)','Of channel V6: Average width of S wave, in msec.'
150,'V6: R'' wave (msec)','V6: R'' wave (msec)','Of channel V6: Average width of R'' wave, in msec.'
151,'V6: S'' wave (msec)','V6: S'' wave (msec)','Of channel V6: Average width of S'' wave, in msec.'
152,'V6: Intrinsic deflections','V6: Intrinsic deflections','Of channel V6: Number of intrinsic deflections'
153,'V6: Exist ragged R wave','V6: Exist ragged R wave','Of channel V6: Existence of ragged R wave'
154,'V6: Exist diphasic derivation R wave','V6: Exist diphasic derivation R wave','Of channel V6: Existence of diphasic derivation of R wave'
155,'V6: Exist ragged P wave','V6: Exist ragged P wave','Of channel V6: Existence of ragged P wave'
156,'V6: Exist diphasic derivation P wave','V6: Exist diphasic derivation P wave','Of channel V6: Existence of diphasic derivation of P wave'
157,'V6: Exist ragged T wave','V6: Exist ragged T wave','Of channel V6: Existence of ragged T wave'
158,'V6: Exist diphasic derivation T wave','V6: Exist diphasic derivation T wave','Of channel V6: Existence of diphasic derivation of T wave'
159,'DI: Amplitude JJ wave','DI: Amplitude JJ wave','Of channel DI: Amplitude JJ wave, * 0.1 milivolt'
160,'DI: Amplitude Q wave','DI: Amplitude Q wave','Of channel DI: Amplitude Q wave, * 0.1 milivolt'
161,'DI: Amplitude R wave','DI: Amplitude R wave','Of channel DI: Amplitude R wave, * 0.1 milivolt'
162,'DI: Amplitude S wave','DI: Amplitude S wave','Of channel DI: Amplitude S wave, * 0.1 milivolt'
163,'DI: Amplitude R'' wave','DI: Amplitude R'' wave','Of channel DI: Amplitude R'' wave, * 0.1 milivolt'
164,'DI: Amplitude S'' wave','DI: Amplitude S'' wave','Of channel DI: Amplitude S'' wave, * 0.1 milivolt'
165,'DI: Amplitude P wave','DI: Amplitude P wave','Of channel DI: Amplitude P wave, * 0.1 milivolt'
166,'DI: Amplitude T wave','DI: Amplitude T wave','Of channel DI: Amplitude T wave, * 0.1 milivolt'
167,'DI: QRSA','DI: QRSA','Of channel DI: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
168,'DI: QRSTA','DI: QRSTA','Of channel DI: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
169,'DII: Amplitude JJ wave','DII: Amplitude JJ wave','Of channel DII: Amplitude JJ wave, * 0.1 milivolt'
170,'DII: Amplitude Q wave','DII: Amplitude Q wave','Of channel DII: Amplitude Q wave, * 0.1 milivolt'
171,'DII: Amplitude R wave','DII: Amplitude R wave','Of channel DII: Amplitude R wave, * 0.1 milivolt'
172,'DII: Amplitude S wave','DII: Amplitude S wave','Of channel DII: Amplitude S wave, * 0.1 milivolt'
173,'DII: Amplitude R'' wave','DII: Amplitude R'' wave','Of channel DII: Amplitude R'' wave, * 0.1 milivolt'
174,'DII: Amplitude S'' wave','DII: Amplitude S'' wave','Of channel DII: Amplitude S'' wave, * 0.1 milivolt'
175,'DII: Amplitude P wave','DII: Amplitude P wave','Of channel DII: Amplitude P wave, * 0.1 milivolt'
176,'DII: Amplitude T wave','DII: Amplitude T wave','Of channel DII: Amplitude T wave, * 0.1 milivolt'
177,'DII: QRSA','DII: QRSA','Of channel DII: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
178,'DII: QRSTA','DII: QRSTA','Of channel DII: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
179,'DII: Amplitude JJ wave','DII: Amplitude JJ wave','Of channel DII: Amplitude JJ wave, * 0.1 milivolt'
180,'DII: Amplitude Q wave','DII: Amplitude Q wave','Of channel DII: Amplitude Q wave, * 0.1 milivolt'
181,'DII: Amplitude R wave','DII: Amplitude R wave','Of channel DII: Amplitude R wave, * 0.1 milivolt'
182,'DII: Amplitude S wave','DII: Amplitude S wave','Of channel DII: Amplitude S wave, * 0.1 milivolt'
183,'DII: Amplitude R'' wave','DII: Amplitude R'' wave','Of channel DII: Amplitude R'' wave, * 0.1 milivolt'
184,'DII: Amplitude S'' wave','DII: Amplitude S'' wave','Of channel DII: Amplitude S'' wave, * 0.1 milivolt'
185,'DII: Amplitude P wave','DII: Amplitude P wave','Of channel DII: Amplitude P wave, * 0.1 milivolt'
186,'DII: Amplitude T wave','DII: Amplitude T wave','Of channel DII: Amplitude T wave, * 0.1 milivolt'
187,'DII: QRSA','DII: QRSA','Of channel DII: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
188,'DII: QRSTA','DII: QRSTA','Of channel DII: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
189,'AVR: Amplitude JJ wave','AVR: Amplitude JJ wave','Of channel AVR: Amplitude JJ wave, * 0.1 milivolt'
190,'AVR: Amplitude Q wave','AVR: Amplitude Q wave','Of channel AVR: Amplitude Q wave, * 0.1 milivolt'
191,'AVR: Amplitude R wave','AVR: Amplitude R wave','Of channel AVR: Amplitude R wave, * 0.1 milivolt'
192,'AVR: Amplitude S wave','AVR: Amplitude S wave','Of channel AVR: Amplitude S wave, * 0.1 milivolt'
193,'AVR: Amplitude R'' wave','AVR: Amplitude R'' wave','Of channel AVR: Amplitude R'' wave, * 0.1 milivolt'
194,'AVR: Amplitude S'' wave','AVR: Amplitude S'' wave','Of channel AVR: Amplitude S'' wave, * 0.1 milivolt'
195,'AVR: Amplitude P wave','AVR: Amplitude P wave','Of channel AVR: Amplitude P wave, * 0.1 milivolt'
196,'AVR: Amplitude T wave','AVR: Amplitude T wave','Of channel AVR: Amplitude T wave, * 0.1 milivolt'
197,'AVR: QRSA','AVR: QRSA','Of channel AVR: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
198,'AVR: QRSTA','AVR: QRSTA','Of channel AVR: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
199,'AVL: Amplitude JJ wave','AVL: Amplitude JJ wave','Of channel AVL: Amplitude JJ wave, * 0.1 milivolt'
200,'AVL: Amplitude Q wave','AVL: Amplitude Q wave','Of channel AVL: Amplitude Q wave, * 0.1 milivolt'
201,'AVL: Amplitude R wave','AVL: Amplitude R wave','Of channel AVL: Amplitude R wave, * 0.1 milivolt'
202,'AVL: Amplitude S wave','AVL: Amplitude S wave','Of channel AVL: Amplitude S wave, * 0.1 milivolt'
203,'AVL: Amplitude R'' wave','AVL: Amplitude R'' wave','Of channel AVL: Amplitude R'' wave, * 0.1 milivolt'
204,'AVL: Amplitude S'' wave','AVL: Amplitude S'' wave','Of channel AVL: Amplitude S'' wave, * 0.1 milivolt'
205,'AVL: Amplitude P wave','AVL: Amplitude P wave','Of channel AVL: Amplitude P wave, * 0.1 milivolt'
206,'AVL: Amplitude T wave','AVL: Amplitude T wave','Of channel AVL: Amplitude T wave, * 0.1 milivolt'
207,'AVL: QRSA','AVL: QRSA','Of channel AVL: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
208,'AVL: QRSTA','AVL: QRSTA','Of channel AVL: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
209,'AVF: Amplitude JJ wave','AVF: Amplitude JJ wave','Of channel AVF: Amplitude JJ wave, * 0.1 milivolt'
210,'AVF: Amplitude Q wave','AVF: Amplitude Q wave','Of channel AVF: Amplitude Q wave, * 0.1 milivolt'
211,'AVF: Amplitude R wave','AVF: Amplitude R wave','Of channel AVF: Amplitude R wave, * 0.1 milivolt'
212,'AVF: Amplitude S wave','AVF: Amplitude S wave','Of channel AVF: Amplitude S wave, * 0.1 milivolt'
213,'AVF: Amplitude R'' wave','AVF: Amplitude R'' wave','Of channel AVF: Amplitude R'' wave, * 0.1 milivolt'
214,'AVF: Amplitude S'' wave','AVF: Amplitude S'' wave','Of channel AVF: Amplitude S'' wave, * 0.1 milivolt'
215,'AVF: Amplitude P wave','AVF: Amplitude P wave','Of channel AVF: Amplitude P wave, * 0.1 milivolt'
216,'AVF: Amplitude T wave','AVF: Amplitude T wave','Of channel AVF: Amplitude T wave, * 0.1 milivolt'
217,'AVF: QRSA','AVF: QRSA','Of channel AVF: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
218,'AVF: QRSTA','AVF: QRSTA','Of channel AVF: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
219,'V1: Amplitude JJ wave','V1: Amplitude JJ wave','Of channel V1: Amplitude JJ wave, * 0.1 milivolt'
220,'V1: Amplitude Q wave','V1: Amplitude Q wave','Of channel V1: Amplitude Q wave, * 0.1 milivolt'
221,'V1: Amplitude R wave','V1: Amplitude R wave','Of channel V1: Amplitude R wave, * 0.1 milivolt'
222,'V1: Amplitude S wave','V1: Amplitude S wave','Of channel V1: Amplitude S wave, * 0.1 milivolt'
223,'V1: Amplitude R'' wave','V1: Amplitude R'' wave','Of channel V1: Amplitude R'' wave, * 0.1 milivolt'
224,'V1: Amplitude S'' wave','V1: Amplitude S'' wave','Of channel V1: Amplitude S'' wave, * 0.1 milivolt'
225,'V1: Amplitude P wave','V1: Amplitude P wave','Of channel V1: Amplitude P wave, * 0.1 milivolt'
226,'V1: Amplitude T wave','V1: Amplitude T wave','Of channel V1: Amplitude T wave, * 0.1 milivolt'
227,'V1: QRSA','V1: QRSA','Of channel V1: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
228,'V1: QRSTA','V1: QRSTA','Of channel V1: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
229,'V2: Amplitude JJ wave','V2: Amplitude JJ wave','Of channel V2: Amplitude JJ wave, * 0.1 milivolt'
230,'V2: Amplitude Q wave','V2: Amplitude Q wave','Of channel V2: Amplitude Q wave, * 0.1 milivolt'
231,'V2: Amplitude R wave','V2: Amplitude R wave','Of channel V2: Amplitude R wave, * 0.1 milivolt'
232,'V2: Amplitude S wave','V2: Amplitude S wave','Of channel V2: Amplitude S wave, * 0.1 milivolt'
233,'V2: Amplitude R'' wave','V2: Amplitude R'' wave','Of channel V2: Amplitude R'' wave, * 0.1 milivolt'
234,'V2: Amplitude S'' wave','V2: Amplitude S'' wave','Of channel V2: Amplitude S'' wave, * 0.1 milivolt'
235,'V2: Amplitude P wave','V2: Amplitude P wave','Of channel V2: Amplitude P wave, * 0.1 milivolt'
236,'V2: Amplitude T wave','V2: Amplitude T wave','Of channel V2: Amplitude T wave, * 0.1 milivolt'
237,'V2: QRSA','V2: QRSA','Of channel V2: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
238,'V2: QRSTA','V2: QRSTA','Of channel V2: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
239,'V3: Amplitude JJ wave','V3: Amplitude JJ wave','Of channel V3: Amplitude JJ wave, * 0.1 milivolt'
240,'V3: Amplitude Q wave','V3: Amplitude Q wave','Of channel V3: Amplitude Q wave, * 0.1 milivolt'
241,'V3: Amplitude R wave','V3: Amplitude R wave','Of channel V3: Amplitude R wave, * 0.1 milivolt'
242,'V3: Amplitude S wave','V3: Amplitude S wave','Of channel V3: Amplitude S wave, * 0.1 milivolt'
243,'V3: Amplitude R'' wave','V3: Amplitude R'' wave','Of channel V3: Amplitude R'' wave, * 0.1 milivolt'
244,'V3: Amplitude S'' wave','V3: Amplitude S'' wave','Of channel V3: Amplitude S'' wave, * 0.1 milivolt'
245,'V3: Amplitude P wave','V3: Amplitude P wave','Of channel V3: Amplitude P wave, * 0.1 milivolt'
246,'V3: Amplitude T wave','V3: Amplitude T wave','Of channel V3: Amplitude T wave, * 0.1 milivolt'
247,'V3: QRSA','V3: QRSA','Of channel V3: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
248,'V3: QRSTA','V3: QRSTA','Of channel V3: QRSA + 0.5 * width of T wave * 0.1 * height of T wave. (If T is diphasic then the bigger segment is considered)'
249,'V4: Amplitude JJ wave','V4: Amplitude JJ wave','Of channel V4: Amplitude JJ wave, * 0.1 milivolt'
250,'V4: Amplitude Q wave','V4: Amplitude Q wave','Of channel V4: Amplitude Q wave, * 0.1 milivolt'
251,'V4: Amplitude R wave','V4: Amplitude R wave','Of channel V4: Amplitude R wave, * 0.1 milivolt'
252,'V4: Amplitude S wave','V4: Amplitude S wave','Of channel V4: Amplitude S wave, * 0.1 milivolt'
253,'V4: Amplitude R'' wave','V4: Amplitude R'' wave','Of channel V4: Amplitude R'' wave, * 0.1 milivolt'
254,'V4: Amplitude S'' wave','V4: Amplitude S'' wave','Of channel V4: Amplitude S'' wave, * 0.1 milivolt'
255,'V4: Amplitude P wave','V4: Amplitude P wave','Of channel V4: Amplitude P wave, * 0.1 milivolt'
256,'V4: Amplitude T wave','V4: Amplitude T wave','Of channel V4: Amplitude T wave, * 0.1 milivolt'
257,'V4: QRSA','V4: QRSA','Of channel V4: Sum of areas of all segments divided by 10, ( Area= width * height / 2 )'
